day,timestamp,contributors,score,temperature_deviation,temperature_trend_deviation,id
"2025-07-17","2025-07-17T00:00:00+00:00","{'activity_balance': 87, 'body_temperature': 97, 'hrv_balance': None, 'previous_day_activity': 100, 'previous_night': 56, 'recovery_index': 88, 'resting_heart_rate': 100, 'sleep_balance': None}",85,0.16,"","e57b21db-64dd-4eba-a9eb-dee1b621fa0c"
"2025-07-18","2025-07-18T00:00:00+00:00","{'activity_balance': 71, 'body_temperature': 100, 'hrv_balance': None, 'previous_day_activity': 45, 'previous_night': 64, 'recovery_index': 48, 'resting_heart_rate': 99, 'sleep_balance': None}",68,0.0,0.05,"8666820b-3ab9-438f-82a4-8e16d37e498f"
"2025-07-19","2025-07-19T00:00:00+00:00","{'activity_balance': 89, 'body_temperature': 99, 'hrv_balance': None, 'previous_day_activity': 97, 'previous_night': 64, 'recovery_index': 70, 'resting_heart_rate': 83, 'sleep_balance': None}",79,0.09,0.11,"54b39162-7c72-4dc3-aa1c-bc57037d6eb5"
"2025-07-20","2025-07-20T00:00:00+00:00","{'activity_balance': 88, 'body_temperature': 100, 'hrv_balance': None, 'previous_day_activity': 91, 'previous_night': 84, 'recovery_index': 100, 'resting_heart_rate': 97, 'sleep_balance': 100}",93,-0.02,0.06,"1d9e087a-284e-48e6-b3d1-df022fe873a6"
"2025-07-21","2025-07-21T00:00:00+00:00","{'activity_balance': 87, 'body_temperature': 100, 'hrv_balance': None, 'previous_day_activity': 95, 'previous_night': 62, 'recovery_index': 60, 'resting_heart_rate': 93, 'sleep_balance': 85}",80,-0.03,0.02,"7c9aec0f-0eee-4862-938b-2f6db25cdb94"
"2025-07-22","2025-07-22T00:00:00+00:00","{'activity_balance': 87, 'body_temperature': 95, 'hrv_balance': None, 'previous_day_activity': 90, 'previous_night': 54, 'recovery_index': 94, 'resting_heart_rate': 100, 'sleep_balance': 100}",86,-0.3,-0.07,"91900baa-d94c-4afb-a436-3632deb256df"
"2025-07-25","2025-07-25T00:00:00+00:00","{'activity_balance': 89, 'body_temperature': 92, 'hrv_balance': 86, 'previous_day_activity': 85, 'previous_night': 67, 'recovery_index': 95, 'resting_heart_rate': 68, 'sleep_balance': 98}",83,-0.38,-0.34,"ed8d0a0c-02a9-49d7-bbef-b1b5e38a051b"
"2025-07-26","2025-07-26T00:00:00+00:00","{'activity_balance': 91, 'body_temperature': 99, 'hrv_balance': 96, 'previous_day_activity': 89, 'previous_night': 75, 'recovery_index': 73, 'resting_heart_rate': 100, 'sleep_balance': 97}",89,-0.19,"","f10b08d0-a284-4911-8e20-650c69279eaf"
"2025-07-28","2025-07-28T00:00:00+00:00","{'activity_balance': 89, 'body_temperature': 82, 'hrv_balance': 90, 'previous_day_activity': None, 'previous_night': 64, 'recovery_index': 91, 'resting_heart_rate': 94, 'sleep_balance': 91}",86,0.27,-0.01,"3a746645-d2a5-4b14-a406-c5a6a98cd633"
"2025-07-30","2025-07-30T00:00:00+00:00","{'activity_balance': 84, 'body_temperature': 100, 'hrv_balance': 86, 'previous_day_activity': None, 'previous_night': 58, 'recovery_index': 100, 'resting_heart_rate': 99, 'sleep_balance': 94}",87,0.0,0.09,"36e51831-0012-44b1-bc22-47e5dfadd839"
"2025-07-31","2025-07-31T00:00:00+00:00","{'activity_balance': 87, 'body_temperature': 90, 'hrv_balance': 90, 'previous_day_activity': 94, 'previous_night': 73, 'recovery_index': 91, 'resting_heart_rate': 91, 'sleep_balance': 87}",87,-0.46,0.01,"44d97655-4c57-4392-a6bb-3147534a1b95"
"2025-08-02","2025-08-02T00:00:00+00:00","{'activity_balance': 84, 'body_temperature': 95, 'hrv_balance': 80, 'previous_day_activity': 81, 'previous_night': 69, 'recovery_index': 61, 'resting_heart_rate': 38, 'sleep_balance': 84}",72,-0.29,-0.13,"dfb5118b-a716-4e37-ba0e-719302d9ab84"
"2025-08-04","2025-08-04T00:00:00+00:00","{'activity_balance': 79, 'body_temperature': 90, 'hrv_balance': 90, 'previous_day_activity': None, 'previous_night': 64, 'recovery_index': 47, 'resting_heart_rate': 100, 'sleep_balance': 79}",79,0.19,0.13,"34a82a13-fa6e-45a5-86dd-5c5054fe08f0"
"2025-08-05","2025-08-05T00:00:00+00:00","{'activity_balance': 77, 'body_temperature': 94, 'hrv_balance': 85, 'previous_day_activity': None, 'previous_night': 65, 'recovery_index': 93, 'resting_heart_rate': 95, 'sleep_balance': 71}",82,0.14,0.0,"4416d546-ccb8-49d1-a4c3-2aa29bbb2699"
"2025-08-07","2025-08-07T00:00:00+00:00","{'activity_balance': 73, 'body_temperature': 89, 'hrv_balance': 92, 'previous_day_activity': 73, 'previous_night': 64, 'recovery_index': 64, 'resting_heart_rate': 100, 'sleep_balance': 61}",78,-0.48,-0.02,"868d3554-8120-4f14-b845-b756bf1a6b47"
